IMAGE	Wietske	marina	Chris	Chang Wang	Stevan	Wen Li	Peng Xu	Yue	Mirela	Tjerk	Christoph	Veronika	joostb	Alex	Iris	iulia	changyun wei	tingtingzhang
img1.png	77	80	23	45	70	35	68	30	57	40	58	70	48	17	70	51	70	77
img2.png	60	70	32	60	75	31	52	30	39	52	70	64	30	18	60	33	55	65
img3.png	58	56	25	55	76	33	53	58	45	44	50	60	29	9	59	30	60	50
img4.png	55	68	33	50	69	28	56	27	44	40	52	60	33	18	50	34	60	50
img5.png	51	58	17	46	70	28	54	63	45	55	49	60	28	11	50	37	57	44
img6.png	39	53	34	30	73	60	31	50	16	56	41	50	35	48	29	69	40	30
img7.png	17	50	33	15	67	42	42	37	14	39	21	30	29	53	39	63	36	15
img8.png	19	48	20	15	65	49	27	34	6	39	25	30	11	51	30	45	30	10
img9.png	15	39	15	30	68	45	16	32	9	41	32	30	20	39	12	40	20	14
img10.png	10	40	14	24	60	39	19	11	10	25	24	24	14	44	14	33	10	1
img11.png	89	89	50	60	80	42	86	74	48	83	70	80	41	58	89	97	80	70
img12.png	75	69	60	70	80	29	80	54	48	69	69	70	43	10	80	45	60	63
img13.png	75	73	35	55	71	33	64	53	54	50	31	65	39	14	60	44	50	50
img14.png	55	65	30	50	67	32	66	58	39	60	83	65	48	13	56	34	60	60
img15.png	51	76	28	50	71	36	75	50	37	63	50	65	9	13	59	37	50	60
img16.png	37	69	54	36	68	48	68	34	30	50	38	64	47	79	40	70	43	44
img17.png	34	50	27	30	72	48	49	33	15	59	30	45	39	57	21	54	45	30
img18.png	31	47	22	25	72	55	44	32	30	35	29	50	29	52	21	50	30	20
img19.png	19	50	17	15	68	43	38	31	11	43	18	40	35	51	19	61	35	25
img20.png	20	34	21	20	65	41	59	30	16	52	29	45	28	52	19	36	40	15
img21.png	82	80	64	76	100	60	89	73	56	85	63	85	71	50	92	96	50	83
img22.png	71	82	37	75	100	38	80	83	39	80	61	89	41	38	74	89	55	80
img23.png	62	76	32	80	85	37	72	58	40	66	51	44	40	36	53	84	50	70
img24.png	70	68	36	50	100	39	68	61	46	71	60	35	41	14	55	83	55	70
img25.png	56	57	35	45	71	35	69	55	50	73	47	50	41	28	62	85	70	50
img26.png	30	66	40	40	67	56	57	50	30	62	41	40	35	51	43	71	40	40
img27.png	24	50	28	40	72	42	29	34	18	45	38	40	18	47	35	56	30	35
img28.png	15	47	17	30	70	42	40	27	18	38	28	20	14	46	32	36	20	25
img29.png	21	48	33	15	63	47	35	19	13	41	30	20	11	41	19	39	20	10
img30.png	20	50	25	20	64	38	34	29	17	25	24	20	5	40	14	48	20	10
